source_repository	source_repository_url	source_branch	source_head	source_path	source_commit	source_blob_oid	source_hash	normalized_source_hash	destination_existing_path	destination_hash	canonical_path	canonical_hash	normalized_canonical_hash	disposition	aliases	relationship	artifact_kind	notes
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R1_counterexample_certificate.py	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	719696c9a5f74b9bc271ae9a4cafc3d5e34e5e06	18d8cf92bfaedf06b2967db81475a090e6afeed066a03371cddf767403a8c196	b2bcfd88fff999288fbc5c1ab91328528a7f7fc57b51f3e14eba9f3ac6dc6566			research/archive/strict-layer-proof-research/archive-by-series/70-85/85_phaseII_R1_counterexample_certificate.py	18d8cf92bfaedf06b2967db81475a090e6afeed066a03371cddf767403a8c196	b2bcfd88fff999288fbc5c1ab91328528a7f7fc57b51f3e14eba9f3ac6dc6566	archived	archive-by-series/70-85/85_phaseII_R1_counterexample_certificate.py	source-only	failure	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R1_counterexample_certificate.txt	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	2d4f0a4f333e428106231c07984f558672eeb5f7	545278e70d40da3472f2245269d729b682818b405576b82160c6175d05981880	142b3d1cd938b003dec875408ddba7fc5c155130eae50d6e30550e9569e1d033			research/archive/strict-layer-proof-research/archive-by-series/70-85/85_phaseII_R1_counterexample_certificate.txt	545278e70d40da3472f2245269d729b682818b405576b82160c6175d05981880	142b3d1cd938b003dec875408ddba7fc5c155130eae50d6e30550e9569e1d033	archived	archive-by-series/70-85/85_phaseII_R1_counterexample_certificate.txt	source-only	failure	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R1_moving_square_exactization.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	d21e9ff7f837ff9dce78ec00e3ef5eaa77394ec4	4178efc07b7b0751f779d05488d909d9a24d16848201acdcfa21d3fbc7ee6920	b362ba10ff073c5905400770e3bc7cc83a53f75067e79ae2cac143a639a944a4	research/strict/campaigns/85/85_phaseII_R1_moving_square_exactization.md	b362ba10ff073c5905400770e3bc7cc83a53f75067e79ae2cac143a639a944a4	research/a1/records/moving-square-exactization-variant-a.md	4178efc07b7b0751f779d05488d909d9a24d16848201acdcfa21d3fbc7ee6920	b362ba10ff073c5905400770e3bc7cc83a53f75067e79ae2cac143a639a944a4	canonical	archive-by-series/70-85/85_phaseII_R1_moving_square_exactization.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R2_counterexample_certificate.py	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	c07850e627bd7ec61994083fcbee06c6ecb6200e	c01354432e3b6119bdba2f65be0bdb2df2ae26c67a5ae7afeeafbee4614607b9	6df582b37895b6a6fe7123ff92fa1babda08930abf37751202af60550e479a14			research/archive/strict-layer-proof-research/archive-by-series/70-85/85_phaseII_R2_counterexample_certificate.py	c01354432e3b6119bdba2f65be0bdb2df2ae26c67a5ae7afeeafbee4614607b9	6df582b37895b6a6fe7123ff92fa1babda08930abf37751202af60550e479a14	archived	archive-by-series/70-85/85_phaseII_R2_counterexample_certificate.py	source-only	failure	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R2_counterexample_certificate.txt	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	236a93fa4672898a5c0696b3b615d2da0519d539	7819b9a07779ecf0aa0dad4cd4ea1039913782679a55d64d7ef1cc42f84ddf0d	9bc3bbbeb22ee85a49113292f9a10bbe6955da9a7e7ef04d442b5007df04c887			research/archive/strict-layer-proof-research/archive-by-series/70-85/85_phaseII_R2_counterexample_certificate.txt	7819b9a07779ecf0aa0dad4cd4ea1039913782679a55d64d7ef1cc42f84ddf0d	9bc3bbbeb22ee85a49113292f9a10bbe6955da9a7e7ef04d442b5007df04c887	archived	archive-by-series/70-85/85_phaseII_R2_counterexample_certificate.txt	source-only	failure	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R2_moving_square_exactization.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	6484e271d0ef88f4d5e7d3aea101ba3e275feefe	c356076a2648815e316d6e84dd18e93ccc8a32035c2908bb16a5753b9156e5d3	d73d5921aa8f00547ef642929ff3fffc05f5c90b70b6a9873564cb220da5757f	research/strict/campaigns/85/85_phaseII_R2_moving_square_exactization.md	d73d5921aa8f00547ef642929ff3fffc05f5c90b70b6a9873564cb220da5757f	research/a1/records/moving-square-exactization-variant-b.md	c356076a2648815e316d6e84dd18e93ccc8a32035c2908bb16a5753b9156e5d3	d73d5921aa8f00547ef642929ff3fffc05f5c90b70b6a9873564cb220da5757f	canonical	archive-by-series/70-85/85_phaseII_R2_moving_square_exactization.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R2_radial_certificate.py	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	f7dda7679d05e93563d15991b29fe9bc68334d75	deaed60478cdb8a01439fda76f0072fb8ecbe948cdebf565f19f3a763bd21414	8a972a39bb102296900c4db752e457eb76cf773950b55aaa0649cf3c7cb78973			research/archive/strict-layer-proof-research/archive-by-series/70-85/85_phaseII_R2_radial_certificate.py	deaed60478cdb8a01439fda76f0072fb8ecbe948cdebf565f19f3a763bd21414	8a972a39bb102296900c4db752e457eb76cf773950b55aaa0649cf3c7cb78973	archived	archive-by-series/70-85/85_phaseII_R2_radial_certificate.py	source-only	computation	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R2_radial_certificate.txt	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	a45fc84120887e046cb00f0809b0f311aea007c5	cfecd31512a4deb09249b28ff50c5a2d29c256b2a4c69273aa13bb8b2cb5600e	4d64ae08737ea84b60255240d1578d53aecee8f0979d2e93f517930738742d98			research/archive/strict-layer-proof-research/archive-by-series/70-85/85_phaseII_R2_radial_certificate.txt	cfecd31512a4deb09249b28ff50c5a2d29c256b2a4c69273aa13bb8b2cb5600e	4d64ae08737ea84b60255240d1578d53aecee8f0979d2e93f517930738742d98	archived	archive-by-series/70-85/85_phaseII_R2_radial_certificate.txt	source-only	computation	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R2_radial_extinction.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	991f3eec08d341b9ed6ab6d4b37fa3e561374833	847666cffd5747547fa00e793e8d4619072cbbf7f31b8ccaf36c7b82ac31184c	6a0147d75491933a0b251436f8d466ba1ce90e20750bc8d34f54385170961124	research/strict/campaigns/85/85_phaseII_R2_radial_extinction.md	6a0147d75491933a0b251436f8d466ba1ce90e20750bc8d34f54385170961124	research/a1/records/radial-extinction.md	847666cffd5747547fa00e793e8d4619072cbbf7f31b8ccaf36c7b82ac31184c	6a0147d75491933a0b251436f8d466ba1ce90e20750bc8d34f54385170961124	canonical	archive-by-series/70-85/85_phaseII_R2_radial_extinction.md	exact-duplicate	failure	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R3_primitive_height(1).md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	da4128b558948fc70c545bb98ec63fed01083819	e7403f812a19a80a331a43339d6f6a0b3714860ce751c2c801f3c739fbd2eb71	9429974f50975ca30d672007434dbc0f76e96f32af3571d5bdb6094fdebfe295	research/strict/campaigns/85/85_phaseII_R3_primitive_height.md	9429974f50975ca30d672007434dbc0f76e96f32af3571d5bdb6094fdebfe295	research/a1/records/primitive-height.md	e7403f812a19a80a331a43339d6f6a0b3714860ce751c2c801f3c739fbd2eb71	9429974f50975ca30d672007434dbc0f76e96f32af3571d5bdb6094fdebfe295	canonical	archive-by-series/70-85/85_phaseII_R3_primitive_height(1).md;archive-by-series/70-85/85_phaseII_R3_primitive_height.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	archive-by-series/70-85/85_phaseII_R3_primitive_height.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	da4128b558948fc70c545bb98ec63fed01083819	e7403f812a19a80a331a43339d6f6a0b3714860ce751c2c801f3c739fbd2eb71	9429974f50975ca30d672007434dbc0f76e96f32af3571d5bdb6094fdebfe295	research/strict/campaigns/85/85_phaseII_R3_primitive_height.md	9429974f50975ca30d672007434dbc0f76e96f32af3571d5bdb6094fdebfe295	research/a1/records/primitive-height.md	e7403f812a19a80a331a43339d6f6a0b3714860ce751c2c801f3c739fbd2eb71	9429974f50975ca30d672007434dbc0f76e96f32af3571d5bdb6094fdebfe295	deduplicated	archive-by-series/70-85/85_phaseII_R3_primitive_height(1).md;archive-by-series/70-85/85_phaseII_R3_primitive_height.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
